"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"385",2012-02-22,6.3050034270048,-1,5,2,47.9293057867424
"386",2012-02-23,6.50514050719671,0,6,7,49.1015372564379
"387",2012-02-24,6.55448937628513,5,7,15,49.3905806325272
"388",2012-02-27,6.76970527758739,-5,3,-8,50.6511309115833
"389",2012-02-28,6.43522960932146,2,2,4,48.6920591403114
"390",2012-02-29,6.18985606579849,4,2,21,47.254871242534
"391",2012-03-01,6.6737491432488,0,1,0,50.089102124743
"392",2012-03-05,6.79986291980809,-3,1,1,50.8277685303045
"393",2012-03-06,6.57368060315285,-4,-3,-3,49.5029863898952
"394",2012-03-07,6.62028786840302,6,9,23,49.7759718006463
"395",2012-03-08,6.97532556545579,7,6,10,51.8554783119554
"396",2012-03-09,6.99177518848527,-2,0,-3,51.9518261039851
"397",2012-03-12,6.88074023303633,-1,-3,8,51.3014785077842
"398",2012-03-13,7,11,14,12,52
"399",2012-03-14,6.84098697738177,1,1,5,51.0686380103789
"400",2012-03-15,6.38176833447567,-3,0,-15,48.3789288162146
"401",2012-03-16,6.58190541466758,-3,2,5,49.5511602859101
"402",2012-03-17,6.58190541466758,0,0,0,49.5511602859101
"403",2012-03-19,6.6737491432488,-7,-4,-2,50.089102124743
"404",2012-03-20,6.48457847840987,4,6,25,48.9811025164007
"405",2012-03-21,6.41740918437286,-4,-2,2,48.5876823656125
"406",2012-03-22,6.22549691569568,3,6,8,47.4636247919318
"407",2012-03-23,6.59835503769705,0,6,6,49.6475080779399
"408",2012-03-26,6.68608636052091,-4,2,1,50.1613629687653
"409",2012-03-28,6.48869088416724,1,1,-6,49.0051894644081
"410",2012-03-29,6.32693625771076,3,-1,5,48.0577695094488
"411",2012-03-30,6.35161069225497,-4,-2,-10,48.2022911974934
"412",2012-04-02,6.49280328992461,2,4,10,49.0292764124156
"413",2012-04-03,6.49280328992461,1,7,11,49.0292764124156
"414",2012-04-04,6.30089102124743,-4,0,-1,47.905218838735
"415",2012-04-05,6.37491432488006,1,3,4,48.3387839028689
"416",2012-04-06,6.37491432488006,7,15,12,48.3387839028689
"417",2012-04-09,6.37491432488006,-3,4,-2,48.3387839028689
"418",2012-04-10,6.14324880054832,2,0,10,46.981885831783
"419",2012-04-11,5.94037011651817,2,6,-1,45.7935963967493
"420",2012-04-12,5.96230294722413,3,-1,10,45.9220601194556
"421",2012-04-13,5.96915695681974,-5,0,-3,45.9622050328013
"422",2012-04-14,5.96915695681974,1,2,2,45.9622050328013
"423",2012-04-15,5.96915695681974,2,2,6,45.9622050328013
"424",2012-04-16,5.64153529814942,-1,4,7,44.0432781748752
"425",2012-04-17,5.52912954078136,3,3,10,43.3849015960051
"426",2012-04-18,5.223440712817,1,0,4,41.5944384607853
"427",2012-04-19,5.47292666209733,2,5,1,43.0557133065701
"428",2012-04-20,5.62097326936258,0,0,-5,43.922843434838
"429",2012-04-22,5.62097326936258,2,2,7,43.922843434838
"430",2012-04-23,5.42631939684716,3,8,3,42.7827278958191
"431",2012-04-24,5.57436600411241,3,3,12,43.649858024087
"432",2012-04-25,5.53461274845785,0,-1,-2,43.4170175266817
"433",2012-04-26,5.79232350925292,-4,1,1,44.9264662684814
"434",2012-04-27,5.78821110349555,0,3,3,44.9023793204739
