"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"396",2013-10-16,4.62165867032214,0,0,5,38.0697150690297
"397",2013-10-17,4.45167923235093,2,3,4,37.0741212180554
"398",2013-10-18,4.43111720356409,0,3,2,36.9536864780182
"399",2013-10-21,4.44071281699794,5,9,11,37.0098893567022
"400",2013-10-22,4.45442083618917,1,4,3,37.0901791833937
"401",2013-10-23,4.20356408498972,0,1,3,35.6208753549398
"402",2013-10-24,4.0514050719671,5,3,26,34.7296582786645
"403",2013-10-28,4.27895819054147,-1,-3,-7,36.0624694017429
"404",2013-10-29,4.2446881425634,2,2,6,35.8617448350142
"405",2013-10-31,4.17477724468814,1,1,2,35.4522667188877
"406",2013-11-07,3.56477039067855,2,6,10,31.8793694311172
"407",2013-11-11,3.93214530500343,-1,5,3,34.0311367864487
"408",2013-11-14,4.27895819054147,-2,-1,-1,36.0624694017429
"409",2013-11-17,4.27895819054147,-1,-3,0,36.0624694017429
"410",2013-11-19,4.27895819054147,2,1,0,36.0624694017429
"411",2013-11-20,4.27621658670322,1,0,5,36.0464114364046
"412",2013-11-23,4.27621658670322,-2,1,-1,36.0464114364046
"413",2013-11-24,4.27621658670322,-3,7,3,36.0464114364046
"414",2013-11-25,4.62714187799863,-1,5,6,38.1018309997063
"415",2013-11-26,4.79300891021248,0,3,-4,39.0733379026731
"416",2013-11-27,4.69431117203564,-4,8,-10,38.4952511504945
"417",2013-12-02,4.71761480466073,-1,-1,0,38.63174385587
"418",2013-12-03,4.93283070596299,0,0,0,39.8922941349261
"419",2013-12-04,4.96161754626457,0,-1,4,40.0609027709782
"420",2013-12-05,4.79712131596984,2,0,-1,39.0974248506805
"421",2013-12-06,4.71898560657985,-2,0,0,38.6397728385391
"422",2013-12-10,4.36394790952707,-1,3,4,36.56026632723
"423",2013-12-12,4.37491432488006,1,0,2,36.6244981885832
"424",2013-12-14,4.37491432488006,1,-1,4,36.6244981885832
"425",2013-12-15,4.37491432488006,-3,0,-2,36.6244981885832
"426",2013-12-19,4.62028786840302,1,2,2,38.0616860863605
"427",2013-12-20,4.80808773132283,-1,3,-2,39.1616567120337
"428",2013-12-26,4.73954763536669,1,1,0,38.7602075785763
"429",2013-12-27,4.79575051405072,-3,-2,-5,39.0893958680114
"430",2013-12-28,4.79575051405072,2,6,14,39.0893958680114
"431",2013-12-29,4.79575051405072,-1,0,0,39.0893958680114
"432",2013-12-30,4.57779300891021,-4,1,-10,37.812787623617
"433",2014-01-01,4.57779300891021,-4,-1,-7,37.812787623617
"434",2014-01-03,4.04318026045237,-1,-1,0,34.6814843826496
"435",2014-01-06,4.06237148732008,-4,-4,-5,34.7938901400176
"436",2014-01-07,4.10349554489376,1,4,0,35.034759620092
"437",2014-01-08,4.1596984235778,-1,-2,-5,35.3639479095271
"438",2014-01-15,4.25154215215901,-1,0,2,35.9018897483599
