"","Date","Price","Text","bing_score","nrc_score","afin_score"
"113",2017-02-07,53.79,"i don t know putin have no deals in russia and the haters are going crazy yet obama can make a deal with iran in terror no problem ",-3,-1,-11
"114",2017-02-07,53.79,"i don t know putin have no deals in russia and the haters are going crazy yet obama can make a deal with iran in terror no problem ",-3,-1,-11
"115",2017-02-07,53.79,"the threat from radical islamic terrorism is very real just look at what is happening in europe and the middle east courts must act fast ",-2,-1,-2
"116",2017-02-07,53.79,"an honor having the national sheriffs assoc join me at the whitehouse incredible men amp women who protect amp serv  t co lkhbcnh l",3,3,4
"117",2017-02-07,53.79,"the failing nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win now they are worse ",-2,-2,-5
"118",2017-02-08,54.42," fake news stories reporters have run since trump won  t co dhld kivc",1,-1,0
"119",2017-02-08,54.42,"big increase in traffic into our country from certain areas while our people are far more vulnerable as we wait for what should be easy d ",0,0,2
"120",2017-02-08,54.42,"i will be speaking at a m today to police chiefs and sheriffs and will be discussing the horrible dangerous and wrong decision ",-3,-2,-5
"121",2017-02-08,54.42," majority in leading eu nations support trump style travel ban poll of more than people in countries  t co kwsiwhtc o",3,0,0
"122",2017-02-08,54.42,"my daughter ivanka has been treated so unfairly by nordstrom she is a great person always pushing me to do the right thing terrible ",-2,0,0
"123",2017-02-08,54.42," immigration ban is one of trump s most popular orders so far  t co waelwuq be",2,-1,1
"124",2017-02-08,54.42," trump administration seen as more truthful than news media  t co lmsr josw",2,0,0
"125",2017-02-08,54.42,"if the u s does not win this case as it so obviously should we can never have the security and safety to which we are entitled politics ",1,-1,6
"126",2017-02-08,54.42,"thank you to our great police chiefs amp sheriffs for your leadership amp service you have a true friend in the  t co lysnv zr h",0,2,7
"127",2017-02-08,54.42,"it is a disgrace that my full cabinet is still not in place the longest such delay in the history of our country obstruction by democrats ",-3,-1,-3
"128",2017-02-08,54.42,"thank you brian krzanich ceo of intel a great investment billion in american innovation and jobs  t co oicfdspkhq",1,1,6
"129",2017-02-09,53.98,"join us live in the oval office for the swearing in of our new attorney general senatorsessions live  t co qew vjog a",0,3,-1
"130",2017-02-09,53.98," ryan died on a winning mission according to general mattis not a failure time for the u s to get smart and start winning again ",1,1,0
"131",2017-02-09,53.98,"see you in court the security of our nation is at stake ",0,0,0
"132",2017-02-09,53.98,"sen mccain should not be talking about the success or failure of a mission to the media only emboldens the enemy he s been losing so ",-2,-2,-5
"133",2017-02-09,53.98," long he doesn t know how to win anymore just look at the mess our country is in bogged down in conflict all over the place our hero ",0,-1,2
"134",2017-02-09,53.98,"congratulations to our new attorney general senatorsessions  t co e bup k z",1,2,2
"135",2017-02-09,53.98,"chris cuomo in his interview with sen blumenthal never asked him about his long term lie about his brave service in vietnam fake news ",-1,-2,-1
"136",2017-02-09,53.98,"sen richard blumenthal who never fought in vietnam when he said for years he had major lie now misrepresents what judge gorsuch told him ",-1,0,0
"137",2017-02-10,55.2,"the failing nytimes does major fake news china story saying mr xi has not spoken to mr trump since nov we spoke at length yesterday ",-1,-2,-5
"138",2017-02-10,55.2,"heading to joint base andrews on marineone with prime minister shinz earlier today  t co jfhyydeho",0,1,0
"139",2017-02-10,55.2,"lawfare remarkably in the entire opinion the panel did not bother even to cite this the statute a disgraceful decision ",-1,-1,-2
"140",2017-02-11,55.2," design or negotiations yet when i do just like with the f fighterjet or the air force one program price will come way down ",0,-1,2
"141",2017-02-11,55.2,"i am reading that the great border wall will cost more than the government originally thought but i have not gotten involved in the ",0,0,3
"142",2017-02-11,55.2,"our legal system is broken of refugees allowed into u s since travel reprieve hail from seven suspect countries wt so dangerous ",-2,-2,1
"143",2017-02-11,55.2,"melania and i are hosting japanese prime minister shinzo abe and mrs abe at mar a lago in palm beach fla they are a wonderful couple ",0,1,4
"144",2017-02-11,55.2,"having a great time hosting prime minister shinzo abe in the united states  t co fvjsac qs  t co hkqbmb aq ",0,2,4
"145",2017-02-11,55.2,"playef golf today with prime minister abe of japan and thebig easy ernie els and had a great time japan is very well represented ",1,2,4
"146",2017-02-11,55.2,"played golf today with prime minister abe of japan and thebig easy ernie els and had a great time japan is very well represented ",1,2,4
"147",2017-02-11,55.2,"i am so proud of my daughter ivanka to be abused and treated so badly by the media and to still hold her head so high is truly wonderful ",0,2,0
"148",2017-02-11,55.2,"a working dinner tonight with prime minister abe of japan and his representatives at the winter white house mar a lago very good talks ",-1,4,3
"149",2017-02-12,55.2,"just leaving florida big crowds of enthusiastic supporters lining the road that the fake news media refuses to mention very dishonest ",-2,-2,0
"150",2017-02-12,55.2,"congratulations stephen miller on representing me this morning on the various sunday morning shows great job ",1,1,5
"151",2017-02-12,55.2,"i know mark cuban well he backed me big time but i wasn t interested in taking all of his calls he s not smart enough to run for president ",1,1,5
"152",2017-02-12,55.2,"after two days of very productive talks prime minister abe is heading back to japan l",1,2,0
"153",2017-02-12,55.2,"rt scavino live joint statement by president trump and prime minister shinzo abe  t co c fe cuaas",1,3,0
"154",2017-02-12,55.2,"while on fake news cnn bernie sanders was cut off for using the term fake news to describe the network they said technical difficulties ",-3,-2,-4
"155",2017-02-12,55.2," icymi joint statement with prime minister shinzo abe on north korea  t co qec fkb d",0,2,0
"156",2017-02-12,55.2," of refugees admitted into u s during court breakdown are from countries syria iraq somalia iran sudan libya amp yemen",-1,-1,-1
"157",2017-02-12,55.2,"the crackdown on illegal criminals is merely the keeping of my campaign promise gang members drug dealers amp others are being removed ",0,-1,-5
"158",2017-02-13,54.15,"today i will meet with canadian pm trudeau and a group of leading business women to discuss women in the workforce  t co bfahprxhdp",1,0,0
"159",2017-02-13,54.15,"welcome to the whitehouse prime minister justintrudeau  t co wkgf zo ri",0,1,2
"160",2017-02-13,54.15,"wonderful meeting with canadian pm justintrudeau and a group of leading ceo s amp business women from canada and th  t co waocoayez ",2,1,4
"161",2017-02-14,54.96,"congratulations to our new vasecretary dr david shulkin time to take care of veterans who have fought to protect  t co fnewjbhuw ",2,1,5
"162",2017-02-14,54.96,"congratulations treasury secretary steven mnuchin icymi watch here  t co rpsmw yd y  t co k twllxiyk",1,0,2
"163",2017-02-14,54.96,"great parent teacher listening session this morning with vp pence amp usedgov secretary betsydevos watch  t co nults ot",0,1,3
"164",2017-02-14,54.96,"the real story here is why are there so many illegal leaks coming out of washington will these leaks be happening as i deal on n korea etc ",-3,1,-3
"165",2017-02-14,54.96,"obamacare continues to fail humana to pull out in will repeal replace amp save healthcare for all americans  t co glweq lnr ",-1,2,0
"166",2017-02-14,54.96," remarks by president trump at signing of h j resolution  t co q mocgac  t co ygddtkm br",1,1,0
"167",2017-02-15,54.57,"this russian connection non sense is merely an attempt to cover up the many mistakes made in hillary clinton s losing campaign ",-2,0,-5
"168",2017-02-15,54.57,"the real scandal here is that classified information is illegally given out by intelligence like candy very un american ",-1,2,-1
"169",2017-02-15,54.57,"venezuela should allow leopoldo lopez a political prisoner amp husband of liliantintori just met w marcorubio o  t co hhge dtsn",-1,-1,-1
"170",2017-02-15,54.57,"welcome to the united states israelipm benjamin amp sara icymi joint press conference  t co gn alwuusn  t co bh nbl fp",0,1,3
"171",2017-02-15,54.57,"the fake news media is going crazy with their conspiracy theories and blind hatred msnbc amp cnn are unwatchable foxandfriends is great ",-6,-4,-6
"172",2017-02-15,54.57,"great listening session with ceo s of the retail industry leaders association this morning  t co sy xjcwfcf",0,0,3
"173",2017-02-15,54.57,"join me in florida this saturday at pm for a rally at the orlando melbourne international airport tickets  t co oigfxfecpp",0,1,1
"174",2017-02-15,54.57,"crimea was taken by russia during the obama administration was obama too soft on russia ",1,0,0
"175",2017-02-15,54.57,"thank you to eli lake of the bloomberg view the nsa amp fbi should not interfere in our politics and is very serious situation for usa",-1,0,2
"176",2017-02-15,54.57,"aetna ceo obamacare in death spiral repealandreplace  t co dmhl xieqv",-1,-1,-2
"177",2017-02-15,54.57,"information is being illegally given to the failing nytimes amp washingtonpost by the intelligence community nsa and fbi just like russia",-1,2,0
"178",2017-02-16,54.16," trump signs bill undoing obama coal mining rule  t co ymft r rgh",1,0,0
"179",2017-02-16,54.16,"the democrats had to come up with a story as to why they lost the election and so badly so they made up a story russia fake news ",-3,-3,-9
"180",2017-02-16,54.16,"leaking and even illegal classified leaking has been a big problem in washington for years failing nytimes and others must apologize ",-4,-2,-7
"181",2017-02-16,54.16,"the spotlight has finally been put on the low life leakers they will be caught ",0,1,0
"182",2017-02-16,54.16,"fake news media which makes up stories and sources is far more effective than the discredited democrats but they are fading fast ",1,0,-3
"183",2017-02-16,54.16,"stock market hits new high with longest winning streak in decades great level of confidence and optimism even before tax plan rollout ",3,3,11
"184",2017-02-17,54.48,"despite the long delays by the democrats in finally approving dr tom price the repeal and replacement of obamacare is moving fast ",0,2,0
"185",2017-02-17,54.48,"the fake news media failing nytimes nbcnews abc cbs cnn is not my enemy it is the enemy of the american people ",-4,-3,-7
"186",2017-02-17,54.48,"looking forward to the florida rally tomorrow big crowd expected ",0,1,1
"187",2017-02-17,54.48,"the fake news media failing nytimes cnn nbcnews and many more is not my enemy it is the enemy of the american people sick ",-5,-4,-9
"188",2017-02-17,54.48,"general keith kellogg who i have known for a long time is very much in play for nsa as are three others ",0,1,0
"189",2017-02-17,54.48," one of the most effective press conferences i ve ever seen says rush limbaugh many agree yet fake media calls it differently dishonest",-1,-1,-2
"190",2017-02-17,54.48,"join me at am watch here  t co veqkmsgawf  t co uzndijiqjm",0,1,1
"191",2017-02-17,54.48,"going to charleston south carolina in order to spend time with boeing and talk jobs look forward to it ",0,2,0
"192",2017-02-17,54.48,"thank you for all of the nice statements on the press conference yesterday rush limbaugh said one of greatest ever fake media not happy ",1,0,8
"193",2017-02-18,54.48,"don t believe the main stream fake news media the white house is running very well i inherited a mess and am in the process of fixing it ",-2,1,-5
"194",2017-02-18,54.48,"getting ready to leave for melbourne florida see you all soon ",1,-1,-1
"195",2017-02-18,54.48,"will be having many meetings this weekend at the southern white house big p m speech in melbourne florida a lot to talk about ",0,3,1
"196",2017-02-19,54.48,"my statement as to what s happening in sweden was in reference to a story that was broadcast on foxnews concerning immigrants amp sweden ",0,1,0
"197",2017-02-20,55.25,"happy presidents day make america great again ",1,1,6
"198",2017-02-20,55.25,"meeting with generals at mar a lago in florida very interesting ",-1,0,2
"199",2017-02-20,55.25,"just named general h r mcmaster national security advisor ",0,1,0
"200",2017-02-20,55.25,"give the public a break the fake news media is trying to say that large scale immigration in sweden is working out just beautifully not ",-1,1,0
"201",2017-02-20,55.25,"congratulations to our new national security advisor general h r mcmaster video  t co bkn r kk  t co vbxcj b pv",1,1,2
"202",2017-02-21,56.34," americans overwhelmingly oppose sanctuary cities  t co s qvsjwa u",-2,0,0
"203",2017-02-21,56.34,"the so called angry crowds in home districts of some republicans are actually in numerous cases planned out by liberal activists sad ",-2,-1,-5
"204",2017-02-22,54.9,"very much enjoyed my tour of the smithsonian s national museum of african american history and culture a great job done by amazing people ",2,2,7
"205",2017-02-22,54.9,"one thing i will say about rep keith ellison in his fight to lead the dnc is that he was the one who predicted early that i would win ",2,0,3
"206",2017-02-23,55.82,"big interview tonight by henry kravis at the business council of washington looking forward to it ",0,2,1
"207",2017-02-23,55.82,"seven people shot and killed yesterday in chicago what is going on there totally out of control chicago needs help ",-1,-1,-1
"208",2017-02-23,55.82," s amp p edges higher after trump renews jobs pledge  t co wtrrjvfmvu",1,1,0
"209",2017-02-24,54.69,"the fbi is totally unable to stop the national security leakers that have permeated our government for a long time they can t even ",-1,-2,-1
"210",2017-02-24,54.69,"going to cpac ",0,0,0
